group,origin,totGroupOri,totGroup,shareGroup,shareGroupTot,totOri,sharebyOri,dev
1,Etranger,128640.53,426464.02,0.30164450918977875,0.10723677186312265,1159876.95,0.11090877355567762,0.003672001692554966
1,Suisse,297823.49,426464.02,0.6983554908102212,0.10723677186312265,2816968.05,0.10572483773822,-0.0015119341249026502
2,Etranger,219209.61,834615.47,0.26264743211625347,0.20986874519876936,1159876.95,0.18899384973552583,-0.02087489546324353
2,Suisse,615405.86,834615.47,0.7373525678837465,0.20986874519876936,2816968.05,0.21846391193538742,0.00859516673661806
3,Etranger,168977.09,775250.7799999999,0.2179644243634299,0.19494116064367606,1159876.95,0.14568535912365532,-0.04925580152002074
3,Suisse,606273.69,775250.7799999999,0.7820355756365701,0.19494116064367606,2816968.05,0.21522206828011414,0.020280907636438084
4,Etranger,77485.11,376120.41,0.206011447238399,0.0945775885155192,1159876.95,0.06680459509088443,-0.027772993424634768
4,Suisse,298635.3,376120.41,0.7939885527616011,0.0945775885155192,2816968.05,0.106013023470394,0.011435434954874799
5,Etranger,210439.96,622514,0.33804855794407834,0.15653463989670202,1159876.95,0.18143300459587544,0.02489836469917342
5,Suisse,412074.04,622514,0.6619514420559216,0.15653463989670202,2816968.05,0.14628282347753288,-0.01025181641916914
6,Etranger,8740.28,92076.45,0.0949241635619097,0.023153140240567586,1159876.95,0.0075355234880734555,-0.01561761675249413
6,Suisse,83336.17,92076.45,0.9050758364380903,0.023153140240567586,2816968.05,0.029583640467629728,0.006430500227062142
7,Etranger,151257.24,475151.67,0.3183346488080322,0.11947955477269041,1159876.95,0.13040800578026832,0.010928451007577902
7,Suisse,323894.43,475151.67,0.6816653511919678,0.11947955477269041,2816968.05,0.11497980248657773,-0.004499752286112685
8,Etranger,68990.99,162415.46000000002,0.4247809291061331,0.040840279166022314,1159876.95,0.059481301012146166,0.018641021846123852
8,Suisse,93424.47,162415.46000000002,0.5752190708938668,0.040840279166022314,2816968.05,0.033164902243033964,-0.00767537692298835
9,Etranger,126136.14,212236.74,0.5943181185312213,0.05336811970293034,1159876.95,0.10874958761789344,0.0553814679149631
9,Suisse,86100.59999999999,212236.74,0.40568188146877865,0.05336811970293034,2816968.05,0.030564989901110166,-0.02280312980182017
